Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:14:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.056804761477315,0.0519837403237882,0.0526291813904379,0.0560903701532937,0.0514871477978599,0.052747718337324,0.0565448286026577,0.053117261221037,0.0556088883765565,0.0505015008099704,0.05,0.05,0.0509019939575528,0.0571781818332315,0.0635346610652489,0.058337646952031,0.05749240943445,0.052436572632355,0.050264179118162,0.0564955286219185,0.0565362043886177,0.0537531268721449,0.05,0.05,0.0541478372146571,0.0581770623791365,0.0489283421932148,0.0529348658964923,0.0537647988655047,0.0523829840064116,0.0519875934053328,0.055781882227416,0.054736390964305,0.0529457239545329,0.05,0.05,0.0553217158155568,0.0554571281864354,0.0535764258758397,0.0561542133931533,0.0601582448789978,0.0579419045865519,0.0526374870505236,0.0567619101940407,0.0497285845071112,0.0493910712092367,0.05,0.05,0.0512794660026832,0.0547323810847633,0.0571918542412505,0.0520308308209766,0.0526894626534348,0.0514587265450583,0.0550120161021719,0.0640315735846114,0.0561196305769461,0.055211398792958,0.05,0.05,0.0555650063568852,0.0546777605221343,0.0536946307317797,0.0521415610717994,0.0529353292218284,0.0583426854625607,0.0566424463277691,0.0529363217180923,0.0587441787340327,0.0572836293646807,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0:29:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0624199992618891,0.0581816570701037,0.0576321490053999,0.0612343159035263,0.0554615175408268,0.0590004105956059,0.063801367391284,0.0598141769175357,0.0637001917165743,0.0570460474300604,0.05,0.05,0.05596797526563,0.0636946185168375,0.0707990885906664,0.0647201487673627,0.0635466120012031,0.0586895803031096,0.0559390157081895,0.0628226000967334,0.0618611600761182,0.0601486655462128,0.05,0.05,0.0627039339017528,0.065056217637166,0.0534606876926322,0.0593382351943902,0.059833688682948,0.0557498184767088,0.0579239036093311,0.0630904503729512,0.0614173825632924,0.0573657941141765,0.05,0.05,0.0617488795847764,0.0609344107654471,0.0589939769571366,0.0634857574215475,0.0674376566542441,0.0638879604837026,0.0582966738473654,0.0641712297325313,0.0553769880780642,0.054375294046262,0.05,0.05,0.0552835333173043,0.0605237126100696,0.0636512335032031,0.057188354935917,0.0571373564319627,0.0572989318505768,0.0618042506430042,0.0716037856823848,0.0614977290796151,0.0612737216079961,0.05,0.05,0.0641741009329178,0.060743717279361,0.059548112820951,0.0573669330330936,0.0585873627507292,0.0653057404934591,0.0624650919247795,0.0586016888187935,0.0649735219344311,0.0629719399466027,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0:44:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0685688347767438,0.0650878480067666,0.0630895920331545,0.0668314034634654,0.0597313017562692,0.0659657456565426,0.0719421684967552,0.0673144883417389,0.0729157800890896,0.0643976668962408,0.05,0.05,0.0615198555945043,0.0709127582319727,0.078844028511813,0.0717668804247371,0.0702092389386814,0.0656572366304251,0.0622310180555249,0.0698204268413791,0.0676630592806825,0.0672706590405218,0.05,0.05,0.0725379804307184,0.0727076241299935,0.0583990448080938,0.066479238214102,0.0665556484798918,0.0593254742997612,0.0645058609226677,0.0713036193900242,0.0688758125191259,0.06214024811114,0.05,0.05,0.0688884866837414,0.0669321876548505,0.0649380067210944,0.0717277275174198,0.0755557716777129,0.0704168227416649,0.0645378712849802,0.0725019324593095,0.0616408823264825,0.0598422629948301,0.05,0.05,0.0595890814483584,0.0668987167151823,0.0708023838496035,0.0628394804109652,0.0619460399943821,0.0637769111496758,0.0693954201492383,0.0800200755632374,0.067367336814616,0.0679701533667167,0.05,0.05,0.0740572193011336,0.0674555440807959,0.0660129800030003,0.0630956508937053,0.0648153128795718,0.0730627633742304,0.0688615209375505,0.0648467151478722,0.0718368041677638,0.0692013908426566,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0:59:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0752975586551358,0.0727755877255496,0.0690386335315232,0.0729180139188226,0.0643166475420311,0.0737178537926363,0.081062346614881,0.0757037588598218,0.0833955701640673,0.0726447270307185,0.05,0.05,0.0676004508113863,0.0788984405660361,0.0877414295257365,0.0795392083713267,0.0775350545803524,0.0734134711830285,0.0692017491883717,0.0775512967524622,0.073979822606782,0.0751930398079236,0.05,0.05,0.0838161136439036,0.0812078065028899,0.0637771230676165,0.0744334918403439,0.0739934231428914,0.0631219034294256,0.0717960128275631,0.0805188149390764,0.0771924302321453,0.0672949767675466,0.05,0.05,0.076811195586874,0.0734957137765832,0.0714551881812019,0.0809803596102836,0.0845985544215672,0.0775797713826059,0.0714150146487658,0.0818560492417984,0.0685811424899084,0.0658344869659914,0.05,0.05,0.0642170096899524,0.0739098072476338,0.0787105027778522,0.0690278078652501,0.067142214528525,0.0709563645380797,0.0778692360612018,0.0893618646230073,0.0737686259530713,0.0753598027073138,0.05,0.05,0.0853832390646055,0.0748757329961394,0.0731470115710082,0.0693719642911566,0.0716717339683296,0.0816950315823997,0.0758829769579242,0.0717247641850141,0.0793926517848712,0.0760185674362865,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1:14:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0826555756646779,0.0813238347186555,0.0755186141321467,0.0795327807383526,0.0692387889850434,0.0823368292833275,0.0912638868806185,0.0850738381520159,0.0952919412675132,0.0818822708415647,0.05,0.05,0.0742555697556302,0.0877213998082419,0.0975670718558837,0.0881024163932853,0.0855823658627255,0.0820379440188785,0.0769176105322785,0.0860812456889846,0.0808514566770758,0.0839951484511537,0.05,0.05,0.0967179343517322,0.0906383877378658,0.0696309214103946,0.0832820214544908,0.0822140283088328,0.0671516104295257,0.0798611544505633,0.0908400157976453,0.0864539141679845,0.0728573295994372,0.05,0.05,0.0855926729776222,0.0806733202724743,0.07859539344364,0.0913514530113675,0.0946581076930242,0.0854313610917099,0.0789857215825028,0.0923435091013598,0.0762632063619826,0.0723973325781336,0.05,0.05,0.069189377302459,0.0816127054806497,0.0874448615522423,0.0758000427014185,0.0727541121502502,0.0789059533224764,0.0873155549177752,0.0997153413791219,0.0807441155871344,0.0835056513800393,0.05,0.05,0.0983370507191595,0.0830713798615679,0.0810120759973113,0.0762431355428727,0.0792126248830155,0.0912898532408567,0.0835841546140145,0.0792927972767764,0.0877038212163416,0.0834730626090752,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1:29:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0906954261582506,0.0908171929619146,0.0825710605719152,0.0867165999680637,0.074520059291835,0.0919087719104739,0.102655221569096,0.0955225653175001,0.108769311996583,0.0922116926829535,0.05,0.05,0.0815340599083001,0.0974549388318706,0.108400082750285,0.0975255479649107,0.0944129417378248,0.0916160052209917,0.0854499114498594,0.0954797960342494,0.0883199829910025,0.0937615946204842,0.05,0.05,0.111434847834933,0.101085802649616,0.0759987845478257,0.0931110447788981,0.0912886196041191,0.0714276603578374,0.0887721772581295,0.102377089970331,0.0967526693169974,0.0788561209116684,0.05,0.05,0.0953134553409493,0.0885164448053821,0.0864117126532089,0.102955975248072,0.105832422870858,0.0940293612195038,0.087311243786573,0.104081805807062,0.08475706560061,0.0795790275144027,0.05,0.05,0.0745294205834501,0.0900663342987812,0.0970785609649732,0.0832060604055165,0.0788115045681419,0.0876993502611584,0.0978301397093524,0.111170958026165,0.0883386185807068,0.0924744261820937,0.05,0.05,0.113118972078552,0.0921141848102706,0.089674103870026,0.0837594592071413,0.0874973486677624,0.101940434453219,0.0920231873582837,0.0876113180263521,0.0968372003502676,0.0916174603449545,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1:44:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.099472761423993,0.101345727336093,0.0902396136370071,0.0945126108094193,0.0801838942750565,0.102525699353389,0.115350496482938,0.107153220505581,0.124003136294102,0.10374013255234,0.05,0.05,0.0894878140929591,0.108175436453271,0.12032224890597,0.107881130906043,0.104091847173178,0.102238506548485,0.0948748538223273,0.105819551502917,0.0964293204406351,0.104581951737889,0.05,0.05,0.128167282160314,0.112640816171014,0.0829214389286486,0.104011563993034,0.101292236984756,0.075963684039015,0.0986037856679056,0.115244753478251,0.108186420520888,0.0853216200139024,0.05,0.05,0.106058660499345,0.0970796185490544,0.0949604225225241,0.115915335603487,0.118224911251273,0.103434623699142,0.0964563352656395,0.117195341076078,0.0941371559467345,0.0874306158048156,0.05,0.05,0.0802615612570941,0.0993326247324568,0.107688138411555,0.0912989361191036,0.0853456951499295,0.0974151959691369,0.10951419764631,0.123822685986022,0.0965991405116581,0.102336360561961,0.05,0.05,0.129943316063964,0.102080357832041,0.0992029724030228,0.0919742354552227,0.0965884666434806,0.113745566332644,0.101261571092652,0.0967442337792234,0.106863732279521,0.100507265734232,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1:59:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.109046262284407,0.113004595903211,0.0985699076288367,0.102966140303916,0.0862548255269472,0.11428529536061,0.129468459380015,0.12007366850084,0.141178160235438,0.116579523571117,0.05,0.05,0.0981717285222854,0.1199616585533,0.133417093633969,0.119244760925183,0.11468717410164,0.114001427836242,0.105273408379477,0.117175621867313,0.105225113410889,0.116550247198683,0.05,0.05,0.147120528679646,0.125397806696717,0.0904420030147867,0.116078723670263,0.112303397440644,0.0807738802738673,0.109434053555556,0.129561077325006,0.120857554987687,0.0922855224797873,0.05,0.05,0.117917515574329,0.106420399640226,0.104300892639657,0.13035625142748,0.131943668157813,0.113710864061127,0.106489018661455,0.131814367554173,0.104482121272804,0.0960058541575379,0.05,0.05,0.0864114044202883,0.109476217404916,0.119352997857799,0.100134929139105,0.0923894910995257,0.108136936411119,0.122473643552106,0.137766988461299,0.105574721725809,0.113164823183725,0.05,0.05,0.149035867754074,0.113050406040512,0.109672280979001,0.100943686483012,0.106551469057959,0.126809089291582,0.111364009292844,0.106758616163725,0.117858243120687,0.110200769927555,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2:14:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.119477489088709,0.125893458101004,0.10760939281377,0.112124605191118,0.0927584614416076,0.127290454126943,0.145130900403357,0.134395134634867,0.16048576856849,0.130845224244708,0.05,0.05,0.107643601283884,0.132893843081266,0.147768687997973,0.13169451928456,0.12626965031709,0.127005276797632,0.116731056354659,0.129624850699422,0.11475449693067,0.129764206618382,0.05,0.05,0.168498963153007,0.139453773154232,0.0986059658580361,0.12941088944726,0.124403507425507,0.0858730144900868,0.121343790809994,0.14544546934345,0.134872164036926,0.0997808990723685,0.05,0.05,0.13098266528886,0.116599241665331,0.11449541640931,0.146409127620349,0.147100418512684,0.124924339518567,0.117480229518247,0.148073449990703,0.115874423605065,0.105361037303899,0.05,0.05,0.0930057240948318,0.12056404030511,0.132154633306582,0.109773411741708,0.0999771521245445,0.119952513189016,0.136818034815868,0.153101468853377,0.115316212877056,0.125035789230861,0.05,0.05,0.170630008476177,0.125108776716991,0.121158995106404,0.11072680396618,0.117454383026282,0.141239088526303,0.122398163839872,0.117724341057733,0.129899153612031,0.120758837485825,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
2:29:29,30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.130830650144037,0.140115615015598,0.117407091817312,0.122037363406541,0.0997214540821961,0.141648577535493,0.162460576677452,0.150230553599846,0.182120249007999,0.146654167671315,0.05,0.05,0.117963959193235,0.147052530762487,0.163460169176648,0.145310199400124,0.138912106440959,0.141354217974655,0.129337367182068,0.143244820088391,0.125065790093044,0.144324209114597,0.05,0.05,0.192498458397872,0.154907025039437,0.107461127243414,0.144108401769634,0.137676065465446,0.091276413296748,0.134415689403179,0.16301606570815,0.150338733008786,0.107842118679285,0.05,0.05,0.145349223236917,0.127679284639766,0.125608952278112,0.164205870971522,0.163809091985525,0.137143407247773,0.129503317094723,0.166109362814962,0.128399769040488,0.115554739312962,0.05,0.05,0.100072434247114,0.132664743721193,0.146175616861136,0.120276730488843,0.108144311664811,0.13295387548064,0.152659123124345,0.169923158003138,0.125875973884619,0.138027129537397,0.05,0.05,0.194961227133801,0.138343328041306,0.133742934545046,0.121385114454766,0.129367237637809,0.157146772585198,0.134434294558684,0.129713587225613,0.143068052508836,0.132244602656872,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
